level_0,level_1,score
pollen,lr,
pollen,rf,
pollen,svm,
pollen,mlp,
pollen,knn,
Sick_numeric,lr,
Sick_numeric,rf,
Sick_numeric,svm,
Sick_numeric,mlp,
Sick_numeric,knn,
jungle_chess_2pcs_endgame_rat_rat,lr,
jungle_chess_2pcs_endgame_rat_rat,rf,
jungle_chess_2pcs_endgame_rat_rat,svm,
jungle_chess_2pcs_endgame_rat_rat,mlp,
jungle_chess_2pcs_endgame_rat_rat,knn,
led24,lr,
led24,rf,
led24,svm,
led24,mlp,
led24,knn,
led7,lr,
led7,rf,
led7,svm,
led7,mlp,
led7,knn,
kr-vs-kp,lr,
kr-vs-kp,rf,
kr-vs-kp,svm,
kr-vs-kp,mlp,
kr-vs-kp,knn,
splice,lr,
splice,rf,
splice,svm,
splice,mlp,
splice,knn,
space_ga,lr,
space_ga,rf,
space_ga,svm,
space_ga,mlp,
space_ga,knn,
seismic-bumps,lr,
seismic-bumps,rf,
seismic-bumps,svm,
seismic-bumps,mlp,
seismic-bumps,knn,
ozone-level-8hr,lr,
ozone-level-8hr,rf,
ozone-level-8hr,svm,
ozone-level-8hr,mlp,
ozone-level-8hr,knn,
jungle_chess_2pcs_endgame_lion_lion,lr,
jungle_chess_2pcs_endgame_lion_lion,rf,
jungle_chess_2pcs_endgame_lion_lion,svm,
jungle_chess_2pcs_endgame_lion_lion,mlp,
jungle_chess_2pcs_endgame_lion_lion,knn,
jungle_chess_2pcs_endgame_elephant_elephant,lr,
jungle_chess_2pcs_endgame_elephant_elephant,rf,
jungle_chess_2pcs_endgame_elephant_elephant,svm,
jungle_chess_2pcs_endgame_elephant_elephant,mlp,
jungle_chess_2pcs_endgame_elephant_elephant,knn,
segment,lr,
segment,rf,
segment,svm,
segment,mlp,
segment,knn,
Titanic,lr,
Titanic,rf,
Titanic,svm,
Titanic,mlp,
Titanic,knn,
quake,lr,
quake,rf,
quake,svm,
quake,mlp,
quake,knn,
kc1,lr,
kc1,rf,
kc1,svm,
kc1,mlp,
kc1,knn,
balloon,lr,
balloon,rf,
balloon,svm,
balloon,mlp,
balloon,knn,
mfeat-fourier,lr,
mfeat-fourier,rf,
mfeat-fourier,svm,
mfeat-fourier,mlp,
mfeat-fourier,knn,
ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
