Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id
prostate,103,1,5100000,2,0,2549322,45672
bates_classif_100,101,1,5100000,2,0,2549295,45668
breast,78,1,5100000,2,0,2549502,45669
colon,63,1,5100000,2,0,2549437,45665
bates_classif_20,21,1,5100000,2,0,2549577,45654
simulated_bank_marketing,17,10,5100000,2,0,592737,45703
simulated_adult,15,9,5100000,2,68,1267954,45656
simulated_covertype,11,1,5100000,2,0,2549066,45704
simulated_electricity,9,1,5100000,2,0,2160589,45660
AirlinesCodrnaAdult,30,17,1076790,2,7275,473652,1240
poker,11,1,1025010,2,0,511308,354
"BNG(mfeat-fourier,nominal,1000000)",77,77,1000000,10,0,99773,78
BNG(mfeat-fourier),77,1,1000000,10,0,99530,250
"BNG(mfeat-karhunen,nominal,1000000)",65,65,1000000,10,0,99523,115
BNG(optdigits),65,65,1000000,10,0,98637,123
BNG(mfeat-karhunen),65,1,1000000,10,0,99545,252
"BNG(sonar,nominal,1000000)",61,61,1000000,2,0,466444,132
BNG(sonar),61,1,1000000,2,0,467462,264
BNG(spambase),58,58,1000000,2,0,394052,135
"BNG(mfeat-zernike,nominal,1000000)",48,48,1000000,10,0,99430,118
BNG(mfeat-zernike),48,1,1000000,10,0,99797,254
BNG(spectf_test),45,1,1000000,2,0,215190,1181
BNG(SPECTF),45,1,1000000,2,0,281300,1212
"BNG(waveform-5000,nominal,1000000)",41,41,1000000,3,0,330548,147
BNG(waveform-5000),41,1,1000000,3,0,330606,271
"BNG(cylinder-bands,nominal,1000000)",40,40,1000000,2,0,422977,128
BNG(cylinder-bands),40,22,1000000,2,0,421938,262
BNG(kr-vs-kp),37,37,1000000,2,0,478125,72
BNG(satimage),37,1,1000000,6,0,96502,1183
BNG(soybean),36,36,1000000,19,0,12441,134
"BNG(dermatology,nominal,1000000)",35,35,1000000,6,0,54922,129
BNG(ionosphere),35,35,1000000,2,0,358975,146
BNG(dermatology),35,34,1000000,6,0,55693,263
BNG(trains),33,33,1000000,2,0,498881,139
"BNG(sick,nominal,1000000)",30,30,1000000,2,0,61239,131
Higgs,29,1,1000000,2,0,470080,42769
"BNG(colic.ORIG,nominal,1000000)",28,28,1000000,2,0,337223,121
BNG(colic.ORIG),28,21,1000000,2,0,362406,256
LED(50000),25,25,1000000,10,0,99427,154
BNG(mushroom),23,23,1000000,2,0,481702,120
"BNG(colic,nominal,1000000)",23,23,1000000,2,0,370347,122
BNG(colic),23,16,1000000,2,0,369779,257
BNG(spect_test),23,23,1000000,2,0,84563,1180
BNG(SPECT),23,23,1000000,2,0,208420,1211
"BNG(credit-g,nominal,1000000)",21,21,1000000,2,0,300413,126
BNG(credit-g),21,14,1000000,2,0,300226,260
BNG(segment),20,20,1000000,7,0,142366,130
"BNG(hepatitis,nominal,1000000)",20,20,1000000,2,0,208952,142
BNG(hepatitis),20,14,1000000,2,0,207817,269
BNG(eucalyptus),20,6,1000000,5,0,142795,1186
"BNG(vehicle,nominal,1000000)",19,19,1000000,4,0,234833,141
BNG(vehicle),19,1,1000000,4,0,235618,268
"BNG(zoo,nominal,1000000)",18,18,1000000,7,0,42992,148
"BNG(labor,nominal,1000000)",17,17,1000000,2,0,354480,73
"BNG(letter,nominal,1000000)",17,17,1000000,26,0,36483,74
"BNG(pendigits,nominal,1000000)",17,17,1000000,10,0,95300,127
BNG(labor),17,9,1000000,2,0,353000,246
BNG(letter),17,1,1000000,26,0,36811,247
BNG(pendigits),17,1,1000000,10,0,95594,261
BNG(zoo),17,16,1000000,7,0,42792,272
"BNG(credit-a,nominal,1000000)",16,16,1000000,2,0,445102,124
BNG(credit-a),16,10,1000000,2,0,445992,258
BNG(adult),15,13,1000000,2,0,240136,1182
BNG(Australian),15,1,1000000,2,0,426949,1205
BNG(JapaneseVowels),15,1,1000000,9,0,78122,1214
"BNG(heart-statlog,nominal,1000000)",14,14,1000000,2,0,445676,140
BNG(heart-statlog),14,1,1000000,2,0,444054,267
BNG(wine),14,1,1000000,3,0,277674,1185
"BNG(bridges_version1,nominal,1000000)",13,13,1000000,6,0,95098,116
BNG(bridges_version1),13,10,1000000,6,0,95207,253
BNG(vowel),13,3,1000000,11,0,90311,1209
Click,12,1,1000000,2,0,500000,45556
click,12,9,1000000,2,0,500000,45583
Hyperplane_10_1E-3,11,1,1000000,2,0,499993,152
Hyperplane_10_1E-4,11,1,1000000,2,0,499834,153
RandomRBF_0_0,11,1,1000000,5,0,92713,156
"BNG(breast-cancer,nominal,1000000)",10,10,1000000,2,0,297177,77
